("Sec", "A62")	(0.07499980926513672, 28051.0)
("Sec", "A3")	(0.10599994659423828, 10910.0)
("PL", "A6")	(0.30099987983703613, 16899.0)
("Sec", "A10")	(0.12600016593933105, 48316.0)
("CW", "A4")	(0.10299992561340332, 27295.0)
("PL", "A4")	(0.2669999599456787, 27295.0)
("PL", "A5")	(0.36100006103515625, 27542.0)
("CW", "A6")	(0.06399989128112793, 16899.0)
("BP", "A3")	(1.0309998989105225, 10910.0)
("BP", "A62")	(0.07899999618530273, 28051.0)
("CW", "A3")	(0.10299992561340332, 10910.0)
("CW", "A10")	(0.08999991416931152, 48316.0)
("Sec", "A4")	(0.08300018310546875, 27295.0)
("PL", "A10")	(0.5220000743865967, 48316.0)
("Sec", "A5")	(0.1400001049041748, 27542.0)
("Sec", "A6")	(0.06199979782104492, 16899.0)
("BP", "A5")	(0.07299995422363281, 27542.0)
("BP", "A10")	(0.09400010108947754, 48316.0)
("PL", "A3")	(0.18800020217895508, 10910.0)
("PL", "A62")	(0.36699986457824707, 28051.0)
("CW", "A5")	(0.06200003623962402, 27542.0)
("BP", "A4")	(0.09400010108947754, 27295.0)
("BP", "A6")	(0.04699993133544922, 16899.0)
("CW", "A62")	(0.13899993896484375, 28051.0)
