("Sec", "A_014_ABS71_15_1")	(1.7360000610351562, 162284.0)
("Sec", "A_014_ABS21_15_1")	(1.3590002059936523, 36177.0)
("Sec", "A_014_ABS41_15_1")	(1.7990000247955322, 613451.0)
("CW", "A_014_ABS51_15_1")	(1.684000015258789, 85714.0)
("Sec", "A_014_ABS11_15_1")	(1.3259999752044678, 67761.0)
("CW", "A_014_ABS31_15_1")	(1.113999843597412, 230516.0)
("BP", "A_100_ABS92_100_1")	(4.636000156402588, 1.322839e6)
("CW", "A_014_ABS71_15_1")	(1.7249999046325684, 162284.0)
("BP", "A_014_ABS81_15_1")	(1.434999942779541, 32522.0)
("Sec", "A_100_ABS92_100_1")	(4.453999996185303, 1.322378e6)
("Sec", "A_014_ABS81_15_1")	(1.4489998817443848, 32556.0)
("CW", "A_050_ABS19_50_5")	(2.072000026702881, 95456.0)
("BP", "A_014_ABS11_15_1")	(1.375, 67761.0)
("BP", "A_014_ABS21_15_1")	(1.2979998588562012, 36177.0)
("CW", "A_014_ABS81_15_1")	(1.440000057220459, 32850.0)
("BP", "A_014_ABS96_15_5")	(3.570000171661377, 514685.0)
("Sec", "A_014_ABS61_15_1")	(1.7660000324249268, 133523.0)
("CW", "A_014_ABS11_15_1")	(1.371000051498413, 67761.0)
("BP", "A_014_ABS91_15_1")	(1.568000078201294, 231295.0)
("CW", "A_014_ABS91_15_1")	(1.556999921798706, 231295.0)
("CW", "A_100_ABS92_100_1")	(4.67300009727478, 1.322883e6)
("BP", "A_014_ABS41_15_1")	(1.6770000457763672, 613451.0)
("BP", "A_014_ABS61_15_1")	(1.7030000686645508, 133523.0)
("BP", "A_014_ABS31_15_1")	(1.1119999885559082, 230516.0)
("Sec", "A_050_ABS19_50_5")	(2.0139999389648438, 95438.0)
("BP", "A_014_ABS71_15_1")	(1.7350001335144043, 162284.0)
("Sec", "A_014_ABS31_15_1")	(1.0989999771118164, 230516.0)
("BP", "A_014_ABS51_15_1")	(1.6610000133514404, 85100.0)
("Sec", "A_014_ABS51_15_1")	(1.7769999504089355, 85100.0)
("BP", "A_050_ABS19_50_5")	(2.11899995803833, 95979.0)
("Sec", "A_014_ABS91_15_1")	(1.5429999828338623, 231295.0)
("CW", "A_014_ABS41_15_1")	(1.7590000629425049, 613451.0)
("Sec", "A_014_ABS96_15_5")	(1.187000036239624, 514685.0)
("CW", "A_014_ABS96_15_5")	(1.190000057220459, 514685.0)
("CW", "A_014_ABS21_15_1")	(1.3289999961853027, 36300.0)
("CW", "A_014_ABS61_15_1")	(1.935999870300293, 133523.0)
