("CW", "B_050_instance14")	(9.870000123977661, 480253.3566982142)
("BP", "A_050_ABS13_50_3")	(2.9690001010894775, 113363.0)
("BP", "B_050_instance2")	(7.71399998664856, 493627.9564896308)
("Sec", "A_100_ABS1_100_1")	(5.002000093460083, 200197.0)
("CW", "B_100_instance20")	(31.997999906539917, 721265.7422850349)
("Sec", "B_050_instance2")	(7.658999919891357, 519990.80372601945)
("CW", "B_050_instance30")	(14.63100004196167, 452681.7261000413)
("CW", "B_050_instance2")	(8.211000204086304, 512132.23771163827)
("CW", "B_050_instance7")	(8.27999997138977, 472724.36953741673)
("Sec", "B_050_instance7")	(8.016999959945679, 466796.05856344826)
("BP", "B_050_instance22")	(9.190999984741211, 450692.0780213081)
("Sec", "B_050_instance22")	(10.285000085830688, 450792.24856089684)
("BP", "B_050_instance14")	(9.54699993133545, 459843.6802446192)
("CW", "B_050_instance22")	(11.282999992370605, 445205.50661331054)
("Sec", "B_050_instance14")	(9.125999927520752, 498521.7316608218)
("CW", "A_050_ABS13_50_3")	(2.8439998626708984, 113210.0)
("Sec", "B_100_instance20")	(28.5239999294281, 722411.5318942053)
("BP", "B_050_instance7")	(8.973999977111816, 492016.9865574968)
("BP", "B_100_instance20")	(28.188999891281128, 728361.0804210736)
("Sec", "A_050_ABS13_50_3")	(2.703000068664551, 112718.0)
("CW", "A_100_ABS1_100_1")	(5.203000068664551, 202592.0)
("BP", "B_050_instance30")	(14.225000143051147, 461948.74309068837)
("BP", "A_100_ABS1_100_1")	(4.9709999561309814, 197390.0)
("Sec", "B_050_instance30")	(13.868000030517578, 464504.2492512699)
