("CW", "A_014_ABS94_15_5")	(1.3519999980926514, 512871.0)
("CW", "B_100_instance6")	(31.551999807357788, 686456.2389577765)
("CW", "B_100_instance30")	(23.776000022888184, 685098.2574150627)
("BP", "B_100_instance30")	(20.03700017929077, 700107.1310073425)
("BP", "B_100_instance16")	(19.117000102996826, 723673.7997044233)
("BP", "A_014_ABS71_15_4")	(1.5220000743865967, 157502.0)
("CW", "A_014_ABS71_15_4")	(1.4879999160766602, 157502.0)
("Sec", "B_100_instance16")	(19.048999786376953, 735568.1475428627)
("CW", "A_014_ABS80_15_4")	(1.3399999141693115, 29310.0)
("BP", "A_014_ABS94_15_5")	(1.3250000476837158, 512871.0)
("Sec", "B_100_instance1")	(25.82200002670288, 696192.620929293)
("Sec", "A_014_ABS71_15_4")	(1.4649999141693115, 157502.0)
("BP", "B_100_instance6")	(25.598000049591064, 712225.9682419118)
("BP", "B_100_instance1")	(26.021999835968018, 707005.3182119492)
("CW", "B_100_instance16")	(23.546000003814697, 724991.0631608024)
("Sec", "A_014_ABS94_15_5")	(1.3589999675750732, 512871.0)
("CW", "B_100_instance1")	(28.39199995994568, 696837.6645581183)
("Sec", "A_014_ABS80_15_4")	(1.376000165939331, 29310.0)
("Sec", "B_100_instance6")	(29.41100001335144, 694231.576390963)
("Sec", "B_100_instance30")	(19.194000005722046, 700931.6066157136)
("BP", "A_014_ABS80_15_4")	(1.3369998931884766, 29310.0)
