("BP", "A_100_ABS12_100_4")	(4.0, 350170.0)
("BP", "A_100_ABS20_100_3")	(4.812999963760376, 191857.0)
("Sec", "A_050_ABS78_50_2")	(2.0409998893737793, 186718.0)
("BP", "A_100_ABS28_100_3")	(5.30899977684021, 3.401894e6)
("BP", "A_050_ABS77_50_3")	(2.2669999599456787, 183576.0)
("CW", "A_050_ABS78_50_2")	(2.0169999599456787, 186671.0)
("CW", "A_050_ABS1_50_2")	(2.944999933242798, 106879.0)
("CW", "A_100_ABS20_100_3")	(5.021999835968018, 190075.0)
("Sec", "A_100_ABS12_100_4")	(3.8470001220703125, 351088.0)
("BP", "A_050_ABS1_50_2")	(2.944000005722046, 107352.0)
("CW", "A_050_ABS77_50_3")	(2.3259999752044678, 183637.0)
("CW", "A_100_ABS12_100_4")	(3.9539999961853027, 351779.0)
("Sec", "A_100_ABS20_100_3")	(4.664000034332275, 189648.0)
("Sec", "A_100_ABS28_100_3")	(5.0929999351501465, 3.402949e6)
("CW", "A_100_ABS28_100_3")	(5.582000017166138, 3.401454e6)
("Sec", "A_050_ABS77_50_3")	(2.2899999618530273, 183723.0)
("Sec", "A_050_ABS1_50_2")	(2.7680001258850098, 107653.0)
("BP", "A_050_ABS78_50_2")	(2.066999912261963, 187078.0)
